item_name,item_price,store,date,item_des,item_cat
สมายล์ Smile,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทเนื้อยีสต์ เคลือบด้วยบัตเตอร์ครีม โรยด้วยมะพร้าว ตกแต่งหน้าด้วยแยมสตรอเบอร์รี่ และบลูเบอร์รี่พร้อมสอดไส้สตรอเบอร์รี่,โดนัท / Single Donut
โดนัทนมสด Nom sod Donut,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทเนื้อยีสต์ เคลือบด้วยครีมนมสด รสหอมหวาน,โดนัท / Single Donut
บาวาเรี่ย เรย์ Bavrian Rays,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทดาร์กโกโก้ เคลือบช็อคโกแลตเข้มข้น วาดเส้นด้วยไวท์ช็อคโกแลต เป็นใยแมงมุม พร้อมสอดไส้บาวาเรี่ยน,โดนัท / Single Donut
ช็อคโกแลต โคโคนัท Chocolate Coconut,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทเนื้อเค้กช็อคโกแลต เคลือบด้วยน้าตาลเกลซด์ คลุกเคล้าเนื้อมะพร้าว หอมกลิ่นมะพร้าว,โดนัท / Single Donut
โคโคนัท บาวาเรี่ยน Coconut Bavarian,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทเนื้อยีสต์ เคลือบด้วยบัตเตอร์ครีม โรยด้วยมะพร้าว พร้อมสอดไส้บาวาเรี่ยน หอมกลิ่นมะพร้าว และวานิลลา เพิ่มความหอมมันยิ่งขึ้น,โดนัท / Single Donut
มอคค่าเย็น (22 ออนซ์),60,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Iced Mocha (22 Oz.),กาแฟ / Coffee
ลาเต้เย็น (22 ออนซ์),60,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Iced Latte (22 Oz.),กาแฟ / Coffee
อเมริกาโน่เย็น (22 ออนซ์),50,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Iced Latte (22 Oz.),กาแฟ / Coffee
เอสเปรสโซ่เย็น (22 ออนซ์),45,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Iced Espresso (22 Oz.),กาแฟ / Coffee
คาปูชิโน่เย็น (22 ออนซ์),55,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Iced Cappuccino (22 Oz.),กาแฟ / Coffee
ชานม+บับเบิ้ลป๊อป(22 ออนซ์),40,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Milk Tea with Bubble Pop (22 Oz.),ป๊อปปิ้ง ที / Popping Tea
ชานมโกโก้+บับเบิ้ลป๊อป(22 ออนซ์),45,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Coco Milk Tea with Bubble Pop (22 Oz.),ป๊อปปิ้ง ที / Popping Tea
ชาเขียวสตรอเบอร์รี่+สตรอเบอร์รี่ป๊อป(22 ออนซ์),55,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Strawberry Green Tea with Strawberry Pop(22 Oz.),ป๊อปปิ้ง ที / Popping Tea
ชาเขียวกรีนแอปเปิ้ล+กรีนแอปเปิ้ลป๊อป(22 ออนซ์),55,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Green Apple Green Tea with Green Apple Pop(22 Oz.),ป๊อปปิ้ง ที / Popping Tea
น้ำส้ม(22 ออนซ์),35,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Orange Juice(22 Oz.),เครื่องดื่มอื่นๆ / Other Beverage
ชาเย็น(22 ออนซ์),35,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,Cha Yen(22 Oz.),เครื่องดื่มอื่นๆ / Other Beverage
